[Ca2+],[Mg2+],K0p0,K0p1,K0p2,K0p3,K0p4,K0p5,K1p0,K1p1,K1p2,K1p3,K1p4,K2p0,K2p1,K2p2,K2p3,K2p4,Kbp0,Kbp1,Kbp2,Kbp3,Kbp4,Kbp5,Kbp6,Kbp7,Kbp8,Kbp9,Kbp10,Kbp11,Kwp0,Kwp1,Kwp2,Kwp3,Kwp4,Kwp5,Kwp6,Kcp0,Kcp1,Kcp2,Kcp3,Kcp4,Kcp5,Kcp6,Kcp7,Kcp8,Kap0,Kap1,Kap2,Kap3,Kap4,Kap5,Kap6,Kap7,Kap8,Ksp0,Ksp1,Ksp2,Ksp3,Ksp4,Ksp5,Ksp6,Ksp7,Ksp8,Ksp9,Ksp10
0.05,0.029,-59.8600044,92.94282668,23.16646449,0.028808498,-0.027163776,0.005291636,60.87934557,-3621.264569,-9.626418284,0.011618954,-0.000116298,-23.56115858,-608.9449188,2.850399956,0.018117033,-0.000112034,154.184008,148.1750669,1.49478802,-9091.54777,-3226.276594,-52.0612681,-0.644546507,0.001010061,-25.36315904,-27.06107847,-0.227700805,0.056884338,173.5564384,-14802.3852,-27.42052005,414.1600288,-12.65095384,2.042110056,-0.016458652,65.26133562,-0.005611351,-3202.054017,-24.75659573,-0.366652949,0.002208318,115.3497907,-0.078175217,0.004176944,72.91329522,-0.003161285,-3327.718631,-27.90300775,0.354876854,0.00107193,23.30221254,-0.101274213,0.005994672,137.1662469,-4108.756412,-22.4200228,-14884.92814,345.3402051,-51.1823254,35821.91939,-768.4301299,114.2633403,-3108.074102,1905.773391
0.05,0.03,-59.95728529,93.08117793,23.21300767,0.028391115,-0.02687578,0.005243077,61.05544456,-3628.924947,-9.652823382,0.011624537,-0.00011629,-23.38573733,-616.170352,2.824445366,0.018125107,-0.000112114,153.5849582,147.9634346,1.489850596,-9252.079479,-3097.906505,-82.56690968,2.71911057,-0.136622473,-25.27501612,-27.02144108,-0.226981812,0.056798112,173.0398961,-14784.89399,-27.3399196,404.5561466,-12.43326445,2.009950505,-0.016475171,63.80226968,-0.006065191,-3166.352562,-24.15969543,-0.366476455,0.002207783,115.4261008,-0.078197128,0.004178196,71.36971766,-0.003637273,-3289.636551,-27.27246022,0.355231381,0.001070986,23.34272446,-0.101285501,0.005995341,138.258461,-4242.334345,-22.58380541,-14370.53478,342.5266829,-50.75831219,35049.37762,-766.2411381,113.9347297,-2592.94668,1759.418686
0.05,0.031,-60.0562958,93.22196872,23.26038453,0.027961601,-0.026579529,0.005193117,61.23150843,-3636.58407,-9.679224818,0.011630705,-0.00011629,-23.21112189,-623.3568123,2.79860387,0.018133604,-0.000112201,153.0212097,147.7648035,1.485595023,-9098.164374,-3178.263581,-61.60872332,0.446044908,-0.043438222,-25.19152962,-26.98454855,-0.22634758,0.056718605,172.5472884,-14768.40436,-27.26286822,394.4139341,-12.20362394,1.975989072,-0.016486227,62.34048138,-0.006521266,-3130.662989,-23.56151875,-0.366294428,0.002207459,115.5186031,-0.078239231,0.004180542,70.11761903,-0.004031832,-3259.432792,-26.75896851,0.355318917,0.001070752,23.44299978,-0.101320779,0.005997313,136.5664862,-4040.435078,-22.32991613,-15111.17325,345.9859693,-51.27532199,36112.94594,-767.5677286,114.1335158,-3356.598481,1976.485147
0.05,0.032,-60.15426187,93.36129247,23.30725579,0.027538593,-0.026287729,0.005143917,61.40767579,-3644.247969,-9.705640981,0.011636658,-0.000116287,-23.03770164,-630.4856799,2.772935954,0.018141539,-0.00011228,152.2162338,147.6838836,1.476258877,-8997.99618,-3219.916463,-51.17076083,-0.641093091,0.000885778,-25.07260948,-26.96626326,-0.224970629,0.056652844,172.6103712,-14776.9799,-27.26843278,388.9795133,-12.07772761,1.957410649,-0.01647598,61.01357884,-0.006934371,-3098.259218,-23.01838727,-0.366107563,0.002206732,115.5735211,-0.078242093,0.004180769,68.61848515,-0.004498235,-3222.685501,-26.14566353,0.355294336,0.001070312,23.52295443,-0.101316761,0.005997163,140.678806,-4197.907768,-22.94697535,-14786.28023,336.2757281,-49.81619759,36005.66781,-761.4637532,113.2173119,-3475.058885,2010.209324
0.05,0.033,-60.25249155,93.50097602,23.35425782,0.027115231,-0.0259956,0.005094647,61.58388849,-3651.913659,-9.732061859,0.011641991,-0.000116276,-22.86583055,-637.5433046,2.747493996,0.018149456,-0.000112359,154.6042461,146.5433029,1.551318201,-9197.767039,-3112.061803,-69.57114735,0.997944393,-0.066042894,-25.42867587,-26.7898478,-0.236147719,0.056581598,171.7305746,-14743.07635,-27.13382054,376.6013141,-11.79703574,1.915849973,-0.016515772,59.5667434,-0.007384957,-3062.854201,-22.42647397,-0.365920037,0.002206281,115.6502035,-0.07827072,0.004182404,67.09471087,-0.004970071,-3185.169444,-25.52282593,0.355463615,0.00106962,23.57830843,-0.101318758,0.005997344,146.8473298,-4603.125008,-23.87260382,-13531.56222,321.8710954,-47.65259816,34538.61443,-752.6959534,111.9013555,-2648.360734,1775.338159
0.05,0.034,-60.35048451,93.64032855,23.40114472,0.026693796,-0.025704823,0.005045613,61.75940653,-3659.549163,-9.758380486,0.01164786,-0.000116272,-22.69505352,-644.5489162,2.722209858,0.018157247,-0.000112436,153.6335116,146.5458091,1.538889838,-9076.339797,-3167.194703,-56.13044857,-0.429312057,-0.006895036,-25.28413263,-26.78530139,-0.2342847,0.056526951,171.8742803,-14755.63268,-27.15149605,372.2370052,-11.69206768,1.900412814,-0.01655916,58.29077598,-0.007783606,-3031.785379,-21.90390463,-0.365748778,0.002205667,115.710255,-0.078279487,0.004182952,65.68911724,-0.005411352,-3151.010555,-24.94713132,0.355550798,0.001069582,23.68846477,-0.101369378,0.006000164,132.2118714,-3929.84517,-21.67605405,-15144.78942,354.8079719,-52.59384811,35637.74931,-770.7145077,114.6054166,-2891.60055,1844.431679
0.05,0.035,-60.44884335,93.78019946,23.44820764,0.026269848,-0.025412328,0.004996286,61.93565609,-3667.217448,-9.784807847,0.011653691,-0.000116268,-22.52419352,-651.5543585,2.696908437,0.018164705,-0.000112509,150.1856524,147.2963835,1.455037691,-8949.931691,-3186.040946,-57.53938678,0.15644144,-0.031545944,-24.77113691,-26.88945698,-0.221797229,0.056444054,171.2679555,-14733.65574,-27.05769462,361.549016,-11.44945926,1.864483801,-0.016579428,57.10586967,-0.008153723,-3002.984111,-21.41854965,-0.365395521,0.002204842,115.7505643,-0.078297406,0.004184021,64.46227637,-0.005794312,-3121.134849,-24.44465171,0.355771024,0.001068803,23.73281188,-0.101369959,0.006000286,127.9040704,-3672.872945,-21.0295473,-15879.06413,364.2498011,-54.0087951,36395.19292,-775.4438552,115.3149342,-3311.258418,1963.736672
0.05,0.036,-60.54654053,93.91913637,23.49495187,0.025851114,-0.025123371,0.004947557,62.11093751,-3674.843115,-9.811090033,0.011659395,-0.000116262,-22.35532834,-658.4685033,2.671897976,0.018172604,-0.000112588,151.6665725,146.3834733,1.507449302,-9004.78277,-3157.129934,-58.44660602,0.007979287,-0.025636915,-24.99320661,-26.74501236,-0.229630513,0.056355359,171.9918164,-14772.53882,-27.16143456,361.4477049,-11.43789912,1.86284302,-0.016589208,55.76529792,-0.008573107,-2970.307746,-20.86961424,-0.365294986,0.002204473,115.8275012,-0.078316411,0.004185146,63.02788053,-0.006241064,-3086.000321,-23.85792271,0.356023414,0.001068363,23.80315616,-0.101406607,0.006002366,159.3206762,-5211.543459,-25.74429342,-11947.26005,292.4131671,-43.226029,33188.78989,-734.1943559,109.1242372,-2229.223187,1656.383354
0.05,0.037,-60.64452427,94.05848416,23.5418318,0.025429074,-0.024832205,0.004898461,62.28671382,-3682.490723,-9.837446538,0.011665236,-0.000116257,-22.18703659,-665.3545191,2.646967769,0.018180511,-0.000112667,152.7851678,145.7369479,1.546524641,-9258.225976,-2997.765006,-93.02324362,3.587353771,-0.171887505,-25.15950036,-26.64413629,-0.235428985,0.05630317,170.6429758,-14716.64483,-26.9574085,345.7359259,-11.08418194,1.810410716,-0.01663534,54.5609299,-0.008948166,-2940.922687,-20.37661852,-0.364864394,0.002203569,115.8566612,-0.078337283,0.004186385,61.99993302,-0.006565378,-3061.279563,-23.43586429,0.356150347,0.001067658,23.84975392,-0.101397038,0.006001945,144.8244809,-4459.74769,-23.56871073,-13933.79357,325.0425021,-48.12096752,34942.44756,-752.0452874,111.8030527,-2975.008674,1868.331089
0.05,0.038,-60.74269467,94.19807031,23.58880944,0.025008421,-0.02454181,0.004849467,62.46237702,-3690.133822,-9.863785997,0.011671108,-0.000116253,-22.01989986,-672.1855612,2.622205849,0.018187914,-0.000112739,152.9093047,145.3534908,1.560195707,-9057.533538,-3120.003046,-60.38686337,-0.044076871,-0.023368936,-25.17858088,-26.58068981,-0.237468013,0.05623488,171.6193195,-14766.82027,-27.0988443,347.305032,-11.10909001,1.814195133,-0.016656009,53.38336314,-0.009314382,-2912.152428,-19.89461243,-0.364454539,0.002202547,115.8727531,-0.078341938,0.004186743,60.56110761,-0.007013739,-3026.022217,-22.84733258,0.356389251,0.001067264,23.92034419,-0.101434251,0.00600407,138.7050262,-4273.107858,-22.65026469,-14165.31994,338.581574,-50.15093894,34635.70713,-759.0801982,112.8586558,-2510.818053,1736.392635
